Order ID,Customer ID,Sales Person,Order Date,Ship Date,Order Priority,SKU Code,Order Quantity,Unit Sell Price,Unit Cost Price,Discount Percent,Shipping Amount,Ship Mode,Container,Cost,Discount Amount,Discount Cost,Total Discounted Cost
9637,C036,Miss Roseanna Marr,1/3/2017,1/5/2017,Low,SKU989,12,43.22,13,8%,16.71,Regular Air,Small Box,518.64,41.4912,477.1488,493.8588
9637,C036,Mr Robert Carlton,1/3/2017,1/10/2017,Low,SKU1128,49,574.74,92,5%,24.49,Regular Air,Large Box,28162.26,1408.113,26754.147,26778.637
9637,C036,Mrs Gail Johnson,1/3/2017,1/7/2017,Low,SKU593,12,10.14,2,4%,2.27,Regular Air,Wrap Bag,121.68,4.8672,116.8128,119.0828
7909,C023,Mrs Gail Johnson,1/3/2017,1/4/2017,High,SKU766,29,4.26,1,3%,1.2,Regular Air,Wrap Bag,123.54,3.7062,119.8338,121.0338
9762,C453,Mr Robert Carlton,1/3/2017,1/4/2017,High,SKU083,12,20.98,8,5%,21.2,Regular Air,Medium Box,251.76,12.588,239.172,260.372
11972,C042,Miss Roseanna Marr,1/3/2017,1/5/2017,Not Specified,SKU1124,4,213.45,91,0%,14.7,Delivery Truck,Jumbo Drum,853.8,0,853.8,868.5
8710,C735,Mr Robert Carlton,1/4/2017,1/5/2017,Critical,SKU370,17,3.36,1,3%,6.27,Regular Air,Small Box,57.12,1.7136,55.4064,61.6764
8710,C735,Miss Roseanna Marr,1/4/2017,1/6/2017,Critical,SKU540,42,3.71,1,7%,1.93,Express Air,Wrap Bag,155.82,10.9074,144.9126,146.8426
49730,C206,Mr Robert Carlton,1/4/2017,1/5/2017,High,SKU073,3,350.98,72,6%,30,Delivery Truck,Jumbo Drum,1052.94,63.1764,989.7636,1019.7636
52386,C731,Mrs Gail Johnson,1/5/2017,1/7/2017,High,SKU1092,6,120.97,51,8%,26.3,Delivery Truck,Jumbo Drum,725.82,58.0656,667.7544,694.0544
1028,C507,Mrs Gail Johnson,1/5/2017,1/6/2017,High,SKU1034,6,28.48,14,3%,1.99,Regular Air,Small Pack,170.88,5.1264,165.7536,167.7436
1028,C507,Mr Robert Carlton,1/5/2017,1/7/2017,High,SKU1148,11,205.99,12,1%,5.99,Regular Air,Small Box,2265.89,22.6589,2243.2311,2249.2211
32418,C495,Mr Robert Carlton,1/5/2017,1/6/2017,Not Specified,SKU057,5,243.98,105,8%,43.32,Delivery Truck,Jumbo Drum,1219.9,97.592,1122.308,1165.628
28451,C602,Miss Roseanna Marr,1/5/2017,1/7/2017,Critical,SKU156,21,194.3,75,1%,11.54,Regular Air,Large Box,4080.3,40.803,4039.497,4051.037
28451,C602,Miss Roseanna Marr,1/5/2017,1/6/2017,Critical,SKU183,41,209.84,99,2%,21.21,Regular Air,Large Box,8603.44,172.0688,8431.3712,8452.5812
28451,C602,Miss Roseanna Marr,1/5/2017,1/7/2017,Critical,SKU1123,33,145.45,38,0%,17.85,Delivery Truck,Jumbo Drum,4799.85,0,4799.85,4817.7
57253,C199,Mrs Gail Johnson,1/5/2017,1/6/2017,Critical,SKU065,43,1.81,1,8%,0.75,Regular Air,Jumbo Drum,77.83,6.2264,71.6036,72.3536
57253,C199,Mrs Gail Johnson,1/5/2017,1/7/2017,Critical,SKU054,29,20.98,7,6%,53.03,Delivery Truck,Jumbo Drum,608.42,36.5052,571.9148,624.9448
57253,C199,Mrs Gail Johnson,1/5/2017,1/5/2017,Critical,SKU202,48,279.48,131,7%,35,Regular Air,Large Box,13415.04,939.0528,12475.9872,12510.9872
57253,C199,Mrs Gail Johnson,1/5/2017,1/6/2017,Critical,SKU251,49,4.91,2,8%,5.68,Regular Air,Jumbo Box,240.59,19.2472,221.3428,227.0228
57253,C199,Mr Robert Carlton,1/5/2017,1/5/2017,Critical,SKU1143,25,125.99,11,4%,5.26,Regular Air,Small Box,3149.75,125.99,3023.76,3029.02
290,C241,Miss Roseanna Marr,1/5/2017,1/6/2017,Not Specified,SKU578,24,7.64,1,5%,5.83,Regular Air,Wrap Bag,183.36,9.168,174.192,180.022
25601,C780,Mrs Gail Johnson,1/5/2017,1/6/2017,Medium,SKU937,43,5.98,2,9%,4.69,Regular Air,Small Box,257.14,23.1426,233.9974,238.6874
59232,C648,Mr Robert Carlton,1/5/2017,1/7/2017,High,SKU567,23,30.98,7,0%,5.76,Regular Air,Small Box,712.54,0,712.54,718.3
23488,C408,Miss Roseanna Marr,1/6/2017,1/7/2017,Critical,SKU022,30,880.98,194,4%,44.55,Delivery Truck,Jumbo Box,26429.4,1057.176,25372.224,25416.774
48226,C177,Mrs Gail Johnson,1/6/2017,1/6/2017,Low,SKU008,23,100.98,6,2%,35.84,Delivery Truck,Jumbo Box,2322.54,46.4508,2276.0892,2311.9292
6854,C784,Mrs Gail Johnson,1/6/2017,1/8/2017,Medium,SKU412,1,7.68,3,7%,6.16,Express Air,Small Box,7.68,0.5376,7.1424,13.3024
6854,C784,Mr Robert Carlton,1/6/2017,1/8/2017,Medium,SKU169,19,6.64,3,5%,4.95,Express Air,Small Pack,126.16,6.308,119.852,124.802
14274,C181,Mrs Gail Johnson,1/6/2017,1/8/2017,Not Specified,SKU068,23,150.98,63,1%,30,Delivery Truck,Jumbo Drum,3472.54,34.7254,3437.8146,3467.8146
14274,C181,Mrs Gail Johnson,1/6/2017,1/8/2017,Not Specified,SKU906,46,28.28,4,1%,13.99,Express Air,Medium Box,1300.88,13.0088,1287.8712,1301.8612
14274,C181,Miss Roseanna Marr,1/6/2017,1/7/2017,Not Specified,SKU1194,2,35.99,17,3%,1.1,Regular Air,Small Box,71.98,2.1594,69.8206,70.9206
16770,C555,Mr Robert Carlton,1/6/2017,1/7/2017,Critical,SKU821,17,2.1,1,3%,0.7,Regular Air,Wrap Bag,35.7,1.071,34.629,35.329
16961,C771,Miss Roseanna Marr,1/6/2017,1/7/2017,Not Specified,SKU978,27,1.7,1,6%,1.99,Regular Air,Small Pack,45.9,2.754,43.146,45.136
16961,C771,Miss Roseanna Marr,1/6/2017,1/8/2017,Not Specified,SKU629,34,30.98,14,1%,5.09,Regular Air,Small Box,1053.32,10.5332,1042.7868,1047.8768
41094,C493,Mrs Gail Johnson,1/6/2017,1/8/2017,Low,SKU727,46,6.48,3,9%,8.73,Regular Air,Small Box,298.08,26.8272,271.2528,279.9828
41094,C493,Miss Roseanna Marr,1/6/2017,1/10/2017,Low,SKU963,6,20.34,4,5%,35,Regular Air,Large Box,122.04,6.102,115.938,150.938
23490,C406,Mr Robert Carlton,1/6/2017,1/8/2017,High,SKU801,29,3.28,1,3%,3.97,Regular Air,Wrap Bag,95.12,2.8536,92.2664,96.2364
32295,C602,Mrs Gail Johnson,1/7/2017,1/8/2017,High,SKU1209,11,65.99,20,7%,5.99,Regular Air,Small Box,725.89,50.8123,675.0777,681.0677
18405,C302,Mrs Gail Johnson,1/7/2017,1/9/2017,Medium,SKU433,30,20.98,10,9%,8.83,Express Air,Small Box,629.4,56.646,572.754,581.584
18405,C302,Mr Robert Carlton,1/7/2017,1/10/2017,Medium,SKU1022,2,73.98,4,3%,14.52,Regular Air,Small Box,147.96,4.4388,143.5212,158.0412
40704,C411,Mrs Gail Johnson,1/7/2017,1/12/2017,Low,SKU781,6,1.76,1,1%,0.7,Regular Air,Wrap Bag,10.56,0.1056,10.4544,11.1544
3073,C359,Mrs Gail Johnson,1/7/2017,1/8/2017,Medium,SKU359,3,1.98,1,5%,4.77,Regular Air,Small Box,5.94,0.297,5.643,10.413
3073,C359,Mrs Gail Johnson,1/7/2017,1/8/2017,Medium,SKU1074,3,699.99,185,7%,24.49,Express Air,Large Box,2099.97,146.9979,1952.9721,1977.4621
3073,C359,Mr Robert Carlton,1/7/2017,1/8/2017,Medium,SKU1130,7,6783.02,2136,7%,24.49,Regular Air,Large Box,47481.14,3323.6798,44157.4602,44181.9502
33923,C084,Mrs Gail Johnson,1/7/2017,1/11/2017,Low,SKU1209,34,65.99,27,5%,5.99,Regular Air,Small Box,2243.66,112.183,2131.477,2137.467
43909,C148,Mr Robert Carlton,1/7/2017,1/8/2017,High,SKU399,46,15.99,7,8%,13.18,Regular Air,Small Box,735.54,58.8432,676.6968,689.8768
4193,C673,Miss Roseanna Marr,1/8/2017,1/8/2017,High,SKU513,16,4.13,1,7%,0.99,Regular Air,Small Box,66.08,4.6256,61.4544,62.4444
4193,C673,Miss Roseanna Marr,1/8/2017,1/8/2017,High,SKU165,3,22.72,6,3%,8.99,Regular Air,Small Pack,68.16,2.0448,66.1152,75.1052
30083,C482,Mr Robert Carlton,1/8/2017,1/9/2017,Not Specified,SKU261,23,14.56,3,7%,3.5,Regular Air,Small Box,334.88,23.4416,311.4384,314.9384
7203,C662,Mrs Gail Johnson,1/8/2017,1/10/2017,High,SKU391,25,896.99,8,3%,19.99,Regular Air,Small Box,22424.75,672.7425,21752.0075,21771.9975
18561,C398,Mrs Gail Johnson,1/9/2017,1/10/2017,Not Specified,SKU501,9,4.13,2,2%,6.89,Regular Air,Small Box,37.17,0.7434,36.4266,43.3166
40097,C584,Mrs Gail Johnson,1/9/2017,1/14/2017,Low,SKU734,47,2.6,1,10%,2.4,Regular Air,Wrap Bag,122.2,12.22,109.98,112.38
31715,C498,Mr Robert Carlton,1/9/2017,1/11/2017,Not Specified,SKU799,24,2.78,1,9%,0.97,Regular Air,Wrap Bag,66.72,6.0048,60.7152,61.6852
58343,C794,Miss Roseanna Marr,1/9/2017,1/11/2017,Not Specified,SKU835,39,3.29,1,7%,1.35,Regular Air,Wrap Bag,128.31,8.9817,119.3283,120.6783
47138,C083,Mr Robert Carlton,1/9/2017,1/16/2017,Low,SKU1225,1,125.99,2,4%,8.99,Regular Air,Small Box,125.99,5.0396,120.9504,129.9404
8576,C188,Mr Robert Carlton,1/9/2017,1/11/2017,High,SKU750,43,11.66,1,0%,8.99,Express Air,Small Pack,501.38,0,501.38,510.37
31715,C498,Miss Roseanna Marr,1/9/2017,1/10/2017,Not Specified,SKU338,11,5.38,1,1%,7.57,Regular Air,Small Box,59.18,0.5918,58.5882,66.1582
31715,C498,Mrs Gail Johnson,1/9/2017,1/9/2017,Not Specified,SKU797,44,3.28,1,5%,3.97,Regular Air,Wrap Bag,144.32,7.216,137.104,141.074
55367,C450,Miss Roseanna Marr,1/10/2017,1/11/2017,Critical,SKU012,31,70.98,19,5%,46.74,Delivery Truck,Jumbo Box,2200.38,110.019,2090.361,2137.101
55367,C450,Miss Roseanna Marr,1/10/2017,1/12/2017,Critical,SKU779,48,11.55,4,5%,2.36,Regular Air,Wrap Bag,554.4,27.72,526.68,529.04
31553,C692,Mr Robert Carlton,1/10/2017,1/12/2017,Critical,SKU481,32,162.93,40,9%,19.99,Regular Air,Small Box,5213.76,469.2384,4744.5216,4764.5116
28290,C489,Mr Robert Carlton,1/10/2017,1/14/2017,Low,SKU988,43,30.42,2,5%,8.65,Express Air,Small Box,1308.06,65.403,1242.657,1251.307
28290,C489,Mrs Gail Johnson,1/10/2017,1/12/2017,Low,SKU923,3,161.55,7,1%,19.99,Express Air,Small Box,484.65,4.8465,479.8035,499.7935
14596,C201,Mrs Gail Johnson,1/10/2017,1/12/2017,Critical,SKU122,24,8.34,3,1%,0.96,Regular Air,Wrap Bag,200.16,2.0016,198.1584,199.1184
14596,C201,Mrs Gail Johnson,1/10/2017,1/11/2017,Critical,SKU797,19,3.28,1,6%,3.97,Regular Air,Wrap Bag,62.32,3.7392,58.5808,62.5508
33988,C642,Mr Robert Carlton,1/10/2017,1/11/2017,Medium,SKU1012,30,5.02,2,0%,5.14,Regular Air,Small Pack,150.6,0,150.6,155.74
28999,C307,Miss Roseanna Marr,1/10/2017,1/11/2017,High,SKU1016,34,33.98,2,2%,1.99,Regular Air,Small Pack,1155.32,23.1064,1132.2136,1134.2036
20037,C539,Mr Robert Carlton,1/10/2017,1/15/2017,Low,SKU120,35,29.18,2,2%,8.55,Regular Air,Small Box,1021.3,20.426,1000.874,1009.424
20037,C539,Mrs Gail Johnson,1/10/2017,1/15/2017,Low,SKU1125,49,297.64,73,3%,14.7,Delivery Truck,Jumbo Drum,14584.36,437.5308,14146.8292,14161.5292
44391,C042,Miss Roseanna Marr,1/10/2017,1/11/2017,Not Specified,SKU705,16,6.48,2,2%,9.17,Regular Air,Small Box,103.68,2.0736,101.6064,110.7764
19655,C011,Miss Roseanna Marr,1/11/2017,1/12/2017,High,SKU1063,31,39.24,13,6%,1.99,Regular Air,Small Pack,1216.44,72.9864,1143.4536,1145.4436
33797,C101,Mrs Gail Johnson,1/11/2017,1/11/2017,Not Specified,SKU1125,20,297.64,45,8%,14.7,Delivery Truck,Jumbo Drum,5952.8,476.224,5476.576,5491.276
33797,C101,Mrs Gail Johnson,1/11/2017,1/12/2017,Not Specified,SKU209,44,12.99,4,2%,14.37,Regular Air,Large Box,571.56,11.4312,560.1288,574.4988
33797,C101,Miss Roseanna Marr,1/11/2017,1/12/2017,Not Specified,SKU300,18,14.42,4,6%,6.75,Regular Air,Medium Box,259.56,15.5736,243.9864,250.7364
33797,C101,Mr Robert Carlton,1/11/2017,1/13/2017,Not Specified,SKU137,29,4.14,1,5%,6.6,Express Air,Small Box,120.06,6.003,114.057,120.657
33797,C101,Mr Robert Carlton,1/11/2017,1/11/2017,Not Specified,SKU612,18,11.34,3,3%,5.01,Regular Air,Small Box,204.12,6.1236,197.9964,203.0064
21830,C035,Mrs Gail Johnson,1/11/2017,1/18/2017,Low,SKU1116,19,399.98,128,8%,12.06,Delivery Truck,Jumbo Box,7599.62,607.9696,6991.6504,7003.7104
37862,C320,Mrs Gail Johnson,1/12/2017,1/15/2017,Not Specified,SKU273,27,59.98,2,1%,3.99,Regular Air,Small Box,1619.46,16.1946,1603.2654,1607.2554
43362,C637,Miss Roseanna Marr,1/12/2017,1/15/2017,Critical,SKU073,45,350.98,104,3%,30,Delivery Truck,Jumbo Drum,15794.1,473.823,15320.277,15350.277
43362,C637,Mrs Gail Johnson,1/12/2017,1/14/2017,Critical,SKU812,33,1.68,1,4%,1,Regular Air,Wrap Bag,55.44,2.2176,53.2224,54.2224
20549,C167,Mr Robert Carlton,1/12/2017,1/13/2017,Not Specified,SKU922,40,27.75,10,9%,19.99,Regular Air,Small Box,1110,99.9,1010.1,1030.09
27813,C475,Mrs Gail Johnson,1/12/2017,1/14/2017,Medium,SKU1054,10,40.98,7,10%,6.5,Regular Air,Small Box,409.8,40.98,368.82,375.32
7461,C315,Miss Roseanna Marr,1/12/2017,1/14/2017,Low,SKU045,12,350.99,166,5%,39,Delivery Truck,Jumbo Drum,4211.88,210.594,4001.286,4040.286
7461,C315,Mr Robert Carlton,1/12/2017,1/16/2017,Low,SKU464,28,8.74,3,0%,1.39,Regular Air,Small Box,244.72,0,244.72,246.11
7461,C315,Miss Roseanna Marr,1/12/2017,1/16/2017,Low,SKU845,44,1.98,1,2%,0.7,Regular Air,Wrap Bag,87.12,1.7424,85.3776,86.0776
51623,C537,Mrs Gail Johnson,1/13/2017,1/13/2017,Critical,SKU152,17,2.08,1,6%,5.33,Regular Air,Small Box,35.36,2.1216,33.2384,38.5684
25541,C545,Mrs Gail Johnson,1/13/2017,1/15/2017,Low,SKU631,50,5.98,1,7%,5.79,Regular Air,Small Box,299,20.93,278.07,283.86
13602,C112,Mr Robert Carlton,1/13/2017,1/18/2017,Low,SKU1123,3,145.45,35,3%,17.85,Delivery Truck,Jumbo Drum,436.35,13.0905,423.2595,441.1095
13602,C112,Miss Roseanna Marr,1/13/2017,1/13/2017,Low,SKU638,13,48.04,3,2%,5.09,Regular Air,Small Box,624.52,12.4904,612.0296,617.1196
34691,C174,Miss Roseanna Marr,1/14/2017,1/16/2017,Critical,SKU309,27,7.77,2,8%,9.23,Regular Air,Small Box,209.79,16.7832,193.0068,202.2368
34691,C174,Miss Roseanna Marr,1/14/2017,1/14/2017,Critical,SKU1115,23,306.14,4,2%,26.53,Delivery Truck,Jumbo Drum,7041.22,140.8244,6900.3956,6926.9256
34691,C174,Mr Robert Carlton,1/14/2017,1/16/2017,Critical,SKU659,13,18.97,5,10%,9.54,Express Air,Small Box,246.61,24.661,221.949,231.489
30567,C758,Mrs Gail Johnson,1/14/2017,1/14/2017,Not Specified,SKU258,14,208.16,73,10%,68.02,Delivery Truck,Jumbo Drum,2914.24,291.424,2622.816,2690.836
30567,C758,Mr Robert Carlton,1/14/2017,1/15/2017,Not Specified,SKU497,8,90.48,38,7%,19.99,Regular Air,Small Box,723.84,50.6688,673.1712,693.1612
30567,C758,Mr Robert Carlton,1/14/2017,1/16/2017,Not Specified,SKU111,3,9.48,1,1%,7.29,Express Air,Small Pack,28.44,0.2844,28.1556,35.4456
30567,C758,Mrs Gail Johnson,1/14/2017,1/15/2017,Not Specified,SKU796,14,4.28,2,2%,0.94,Regular Air,Wrap Bag,59.92,1.1984,58.7216,59.6616
8325,C367,Mr Robert Carlton,1/14/2017,1/16/2017,Critical,SKU1108,21,115.99,53,8%,56.14,Delivery Truck,Jumbo Drum,2435.79,194.8632,2240.9268,2297.0668
8325,C367,Miss Roseanna Marr,1/14/2017,1/17/2017,Critical,SKU796,27,4.28,1,8%,0.94,Regular Air,Wrap Bag,115.56,9.2448,106.3152,107.2552
43911,C736,Miss Roseanna Marr,1/14/2017,1/14/2017,Medium,SKU202,29,19.99,1,6%,11.17,Regular Air,Large Box,579.71,34.7826,544.9274,556.0974
43911,C736,Mrs Gail Johnson,1/14/2017,1/15/2017,Medium,SKU1122,36,264.98,16,0%,17.86,Delivery Truck,Jumbo Drum,9539.28,0,9539.28,9557.14
43911,C736,Mrs Gail Johnson,1/14/2017,1/16/2017,Medium,SKU053,23,320.98,121,6%,58.95,Delivery Truck,Jumbo Drum,7382.54,442.9524,6939.5876,6998.5376
6884,C706,Mrs Gail Johnson,1/15/2017,1/20/2017,Low,SKU564,41,4.98,2,1%,4.75,Regular Air,Small Box,204.18,2.0418,202.1382,206.8882
6884,C706,Miss Roseanna Marr,1/15/2017,1/20/2017,Low,SKU596,47,6.35,2,4%,1.02,Regular Air,Wrap Bag,298.45,11.938,286.512,287.532
37729,C308,Mrs Gail Johnson,1/15/2017,1/15/2017,Not Specified,SKU358,48,8.6,3,0%,6.19,Regular Air,Small Box,412.8,0,412.8,418.99
48773,C030,Mr Robert Carlton,1/15/2017,1/17/2017,Medium,SKU606,7,7.04,3,6%,2.17,Regular Air,Wrap Bag,49.28,2.9568,46.3232,48.4932
12676,C366,Miss Roseanna Marr,1/15/2017,1/16/2017,High,SKU087,25,8.09,2,8%,7.96,Express Air,Small Box,202.25,16.18,186.07,194.03
22243,C031,Miss Roseanna Marr,1/15/2017,1/16/2017,Critical,SKU795,9,2.88,1,9%,0.7,Regular Air,Wrap Bag,25.92,2.3328,23.5872,24.2872
31781,C733,Mr Robert Carlton,1/16/2017,1/17/2017,Medium,SKU379,46,5.81,1,10%,8.49,Regular Air,Small Box,267.26,26.726,240.534,249.024
31781,C733,Mrs Gail Johnson,1/16/2017,1/17/2017,Medium,SKU842,41,1.81,1,3%,0.75,Regular Air,Wrap Bag,74.21,2.2263,71.9837,72.7337
2370,C677,Mr Robert Carlton,1/16/2017,1/18/2017,Critical,SKU194,6,110.98,45,2%,13.99,Regular Air,Medium Box,665.88,13.3176,652.5624,666.5524
2370,C677,Mrs Gail Johnson,1/16/2017,1/18/2017,Critical,SKU597,30,8.01,3,1%,2.87,Regular Air,Wrap Bag,240.3,2.403,237.897,240.767
39173,C358,Mrs Gail Johnson,1/16/2017,1/18/2017,Critical,SKU862,36,2.18,1,9%,0.78,Regular Air,Wrap Bag,78.48,7.0632,71.4168,72.1968
39173,C358,Mr Robert Carlton,1/16/2017,1/18/2017,Critical,SKU227,2,179.29,88,5%,29.21,Delivery Truck,Jumbo Box,358.58,17.929,340.651,369.861
30915,C793,Miss Roseanna Marr,1/16/2017,1/16/2017,Low,SKU813,20,2.98,1,4%,2.03,Express Air,Wrap Bag,59.6,2.384,57.216,59.246
30915,C793,Mr Robert Carlton,1/16/2017,1/21/2017,Low,SKU1225,25,125.99,57,1%,8.99,Regular Air,Small Box,3149.75,31.4975,3118.2525,3127.2425
49541,C384,Mrs Gail Johnson,1/16/2017,1/17/2017,Medium,SKU917,35,13.43,3,0%,5.5,Regular Air,Small Box,470.05,0,470.05,475.55
22147,C152,Mrs Gail Johnson,1/16/2017,1/20/2017,Low,SKU165,37,22.72,4,4%,8.99,Regular Air,Small Pack,840.64,33.6256,807.0144,816.0044
12771,C131,Miss Roseanna Marr,1/17/2017,1/17/2017,Critical,SKU502,40,30.53,5,8%,19.99,Regular Air,Small Box,1221.2,97.696,1123.504,1143.494
12771,C131,Mr Robert Carlton,1/17/2017,1/19/2017,Critical,SKU788,46,1.68,1,1%,1.57,Regular Air,Wrap Bag,77.28,0.7728,76.5072,78.0772
46884,C599,Mrs Gail Johnson,1/17/2017,1/18/2017,Medium,SKU779,25,11.55,1,10%,2.36,Regular Air,Wrap Bag,288.75,28.875,259.875,262.235
1921,C084,Mrs Gail Johnson,1/17/2017,1/19/2017,Medium,SKU324,24,328.14,74,5%,91.05,Delivery Truck,Jumbo Drum,7875.36,393.768,7481.592,7572.642
18945,C392,Mr Robert Carlton,1/17/2017,1/19/2017,Medium,SKU1031,33,16.48,3,6%,1.99,Regular Air,Small Pack,543.84,32.6304,511.2096,513.1996
10272,C426,Mrs Gail Johnson,1/17/2017,1/19/2017,Medium,SKU497,3,90.48,35,3%,19.99,Regular Air,Small Box,271.44,8.1432,263.2968,283.2868
10272,C426,Miss Roseanna Marr,1/17/2017,1/17/2017,Medium,SKU700,26,22.84,4,6%,8.18,Regular Air,Small Box,593.84,35.6304,558.2096,566.3896
43620,C386,Mr Robert Carlton,1/17/2017,1/20/2017,Medium,SKU301,13,14.81,5,5%,13.32,Regular Air,Small Box,192.53,9.6265,182.9035,196.2235
43620,C386,Mrs Gail Johnson,1/17/2017,1/19/2017,Medium,SKU568,11,4.2,1,5%,2.26,Express Air,Wrap Bag,46.2,2.31,43.89,46.15
32868,C625,Miss Roseanna Marr,1/17/2017,1/18/2017,Not Specified,SKU757,39,28.15,9,5%,6.17,Regular Air,Small Pack,1097.85,54.8925,1042.9575,1049.1275
46884,C599,Miss Roseanna Marr,1/17/2017,1/19/2017,Medium,SKU487,18,7.64,1,10%,1.39,Regular Air,Small Box,137.52,13.752,123.768,125.158
46884,C599,Miss Roseanna Marr,1/17/2017,1/19/2017,Medium,SKU1163,3,125.99,47,0%,2.5,Regular Air,Small Box,377.97,0,377.97,380.47
48199,C266,Mr Robert Carlton,1/18/2017,1/21/2017,Not Specified,SKU468,47,15.74,3,10%,1.39,Regular Air,Small Box,739.78,73.978,665.802,667.192
58784,C449,Mr Robert Carlton,1/18/2017,1/20/2017,Medium,SKU045,25,350.99,127,5%,39,Delivery Truck,Jumbo Drum,8774.75,438.7375,8336.0125,8375.0125
58784,C449,Miss Roseanna Marr,1/18/2017,1/20/2017,Medium,SKU1085,20,15.99,4,4%,9.4,Express Air,Small Box,319.8,12.792,307.008,316.408
22118,C562,Mrs Gail Johnson,1/18/2017,1/18/2017,High,SKU345,50,58.1,3,5%,1.49,Regular Air,Small Box,2905,145.25,2759.75,2761.24
58784,C449,Mr Robert Carlton,1/18/2017,1/19/2017,Medium,SKU483,12,11.58,3,2%,5.72,Regular Air,Small Box,138.96,2.7792,136.1808,141.9008
58784,C449,Miss Roseanna Marr,1/18/2017,1/18/2017,Medium,SKU620,29,48.91,8,6%,5.81,Regular Air,Small Box,1418.39,85.1034,1333.2866,1339.0966
58784,C449,Miss Roseanna Marr,1/18/2017,1/19/2017,Medium,SKU959,17,15.51,6,2%,17.78,Regular Air,Small Box,263.67,5.2734,258.3966,276.1766
20711,C149,Miss Roseanna Marr,1/19/2017,1/21/2017,Critical,SKU558,5,18.97,2,10%,9.03,Regular Air,Small Box,94.85,9.485,85.365,94.395
16999,C722,Mrs Gail Johnson,1/19/2017,1/21/2017,Critical,SKU321,18,207.48,37,9%,0.99,Regular Air,Small Box,3734.64,336.1176,3398.5224,3399.5124
20711,C149,Mr Robert Carlton,1/19/2017,1/20/2017,Critical,SKU1103,18,119.99,58,0%,56.14,Delivery Truck,Jumbo Box,2159.82,0,2159.82,2215.96
66,C061,Mrs Gail Johnson,1/19/2017,1/19/2017,Low,SKU800,41,2.88,1,9%,0.7,Regular Air,Wrap Bag,118.08,10.6272,107.4528,108.1528
44197,C186,Mr Robert Carlton,1/20/2017,1/23/2017,High,SKU005,27,140.98,34,2%,53.48,Delivery Truck,Jumbo Box,3806.46,76.1292,3730.3308,3783.8108
38340,C738,Miss Roseanna Marr,1/20/2017,1/21/2017,Critical,SKU293,36,60.22,22,2%,3.5,Regular Air,Small Box,2167.92,43.3584,2124.5616,2128.0616
38021,C642,Miss Roseanna Marr,1/21/2017,1/23/2017,Medium,SKU432,46,30.44,2,2%,1.49,Regular Air,Small Box,1400.24,28.0048,1372.2352,1373.7252
37638,C003,Mr Robert Carlton,1/21/2017,1/23/2017,Low,SKU501,33,4.13,1,7%,6.89,Regular Air,Small Box,136.29,9.5403,126.7497,133.6397
31138,C062,Mr Robert Carlton,1/21/2017,1/23/2017,High,SKU248,37,31.76,12,5%,45.51,Delivery Truck,Jumbo Box,1175.12,58.756,1116.364,1161.874
49505,C325,Mr Robert Carlton,1/21/2017,1/23/2017,Critical,SKU463,12,7.84,1,4%,4.71,Regular Air,Small Box,94.08,3.7632,90.3168,95.0268
